Date,Close,High,Low,Open,Volume,trend
2021-01-19,3798.91,3804.53,3780.37,3781.88,0,3797.0739438655337
2021-01-20,3851.85,3859.75,3816.22,3816.22,0,3801.3201886701086
2021-01-21,3853.07,3861.45,3845.05,3857.46,0,3805.567581009767
2021-01-22,3841.47,3852.31,3830.41,3844.24,0,3809.848849551674
2021-01-25,3855.36,3859.23,3797.16,3851.68,0,3814.2264119748643
2021-01-26,3849.62,3870.9,3847.78,3862.96,0,3818.7824491773995
2021-01-27,3750.77,3836.83,3732.48,3836.83,0,3823.624850549856
2021-01-28,3787.38,3830.5,3755.75,3755.75,0,3828.8807789520733
2021-01-29,3714.24,3778.05,3694.12,3778.05,0,3834.631862962299
2021-02-01,3773.86,3784.32,3725.62,3731.17,0,3840.933793171934
2021-02-02,3826.31,3843.09,3791.84,3791.84,0,3847.767015258032
2021-02-03,3830.17,3847.51,3816.68,3840.27,0,3855.0700537769117
2021-02-04,3871.74,3872.42,3836.66,3836.66,0,3862.7680226503567
2021-02-05,3886.83,3894.56,3874.93,3878.3,0,3870.770473266542
2021-02-08,3915.59,3915.77,3892.59,3892.59,0,3878.9925644994855
2021-02-09,3911.23,3918.35,3902.64,3910.49,0,3887.3594924274144
2021-02-10,3909.88,3931.5,3884.94,3920.78,0,3895.8193265257432
2021-02-11,3916.38,3925.99,3890.39,3916.4,0,3904.335055337121
2021-02-12,3934.83,3937.23,3905.78,3911.65,0,3912.878455325114
2021-02-16,3932.59,3950.43,3923.85,3939.61,0,3921.4288310437046
